,trade_date,bs_flag,price,trans_amount,cash,amount,property
0,2016-05-18,,10.3,0.0,10000.0,0.0,10000.0
1,2016-05-19,,10.25,,10000.0,0.0,10000.0
2,2016-05-20,,10.3,,10000.0,0.0,10000.0
3,2016-05-23,,10.28,,10000.0,0.0,10000.0
4,2016-05-24,,10.21,,10000.0,0.0,10000.0
5,2016-05-25,,10.23,,10000.0,0.0,10000.0
6,2016-05-26,,10.22,,10000.0,0.0,10000.0
7,2016-05-27,,10.27,,10000.0,0.0,10000.0
8,2016-05-30,,10.28,,10000.0,0.0,10000.0
9,2016-05-31,B,10.55,473.0,5009.849999999999,473.0,10000.0
10,2016-06-01,,10.48,,5009.849999999999,473.0,9966.89
11,2016-06-02,,10.46,,5009.849999999999,473.0,9957.43
12,2016-06-03,,10.5,,5009.849999999999,473.0,9976.349999999999
13,2016-06-06,,10.51,,5009.849999999999,473.0,9981.079999999998
14,2016-06-07,,10.52,,5009.849999999999,473.0,9985.81
15,2016-06-08,,10.5,,5009.849999999999,473.0,9976.349999999999
16,2016-06-13,,10.33,,5009.849999999999,473.0,9895.939999999999
17,2016-06-14,S,10.4,473.0,9929.05,0.0,9929.05
18,2016-06-15,,10.44,,9929.05,0.0,9929.05
19,2016-06-16,,8.57,,9929.05,0.0,9929.05
20,2016-06-17,,8.58,,9929.05,0.0,9929.05
21,2016-06-20,,8.6,,9929.05,0.0,9929.05
22,2016-06-21,,8.61,,9929.05,0.0,9929.05
23,2016-06-22,,8.73,,9929.05,0.0,9929.05
24,2016-06-23,,8.66,,9929.05,0.0,9929.05
25,2016-06-24,,8.57,,9929.05,0.0,9929.05
26,2016-06-27,,8.61,,9929.05,0.0,9929.05
27,2016-06-28,,8.63,,9929.05,0.0,9929.05
28,2016-06-29,B,8.69,571.0,4967.0599999999995,571.0,9929.05
29,2016-06-30,,8.7,,4967.0599999999995,571.0,9934.759999999998
30,2016-07-01,,8.71,,4967.0599999999995,571.0,9940.470000000001
31,2016-07-04,,8.81,,4967.0599999999995,571.0,9997.57
32,2016-07-05,,8.81,,4967.0599999999995,571.0,9997.57
33,2016-07-06,,8.79,,4967.0599999999995,571.0,9986.149999999998
34,2016-07-07,,8.78,,4967.0599999999995,571.0,9980.439999999999
35,2016-07-08,,8.74,,4967.0599999999995,571.0,9957.599999999999
36,2016-07-11,,8.75,,4967.0599999999995,571.0,9963.31
37,2016-07-12,,8.88,,4967.0599999999995,571.0,10037.54
38,2016-07-13,,8.99,,4967.0599999999995,571.0,10100.349999999999
