,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600030.SH,2016-01-04,19.29,19.29,17.42,17.45,19.35,-1.9,-0.0982,1960580.0,3592570.0
1,600030.SH,2016-01-05,16.8,17.98,16.63,17.65,17.45,0.2,0.0115,2333290.0,4072750.0
2,600030.SH,2016-01-06,17.55,18.15,17.2,17.93,17.65,0.28,0.0159,1972780.0,3489310.0
3,600030.SH,2016-01-07,17.48,17.6,16.2,16.34,17.93,-1.59,-0.0887,679037.0,1145360.0
4,600030.SH,2016-01-08,16.84,17.44,16.0,16.83,16.34,0.49,0.03,2979250.0,5033520.0
5,600030.SH,2016-01-11,16.3,16.48,15.51,15.68,16.83,-1.15,-0.0683,2434620.0,3924220.0
6,600030.SH,2016-01-12,15.92,16.34,15.7,15.89,15.68,0.21,0.0134,1888320.0,3028560.0
7,600030.SH,2016-01-13,16.06,16.3,15.75,15.89,15.89,0.0,0.0,2391720.0,3840840.0
8,600030.SH,2016-01-14,15.5,16.37,15.28,16.29,15.89,0.4,0.0252,2060980.0,3292340.0
9,600030.SH,2016-01-15,16.08,16.2,15.29,15.55,16.29,-0.74,-0.0454,2162250.0,3402620.0
10,600030.SH,2016-01-18,15.15,15.95,15.15,15.65,15.55,0.1,0.0064,1430000.0,2234450.0
11,600030.SH,2016-01-19,15.67,16.29,15.51,16.12,15.65,0.47,0.03,2090180.0,3340470.0
12,600030.SH,2016-01-20,16.1,16.25,15.7,15.82,16.12,-0.3,-0.0186,1630360.0,2608430.0
13,600030.SH,2016-01-21,15.75,16.11,15.01,15.1,15.82,-0.72,-0.0455,1545050.0,2424460.0
14,600030.SH,2016-01-22,15.34,15.47,14.83,15.28,15.1,0.18,0.0119,1225060.0,1862100.0
15,600030.SH,2016-01-25,15.34,15.55,15.17,15.35,15.28,0.07,0.0046,909665.0,1396120.0
16,600030.SH,2016-01-26,15.1,15.25,13.82,13.93,15.35,-1.42,-0.0925,2062440.0,2988330.0
17,600030.SH,2016-01-27,14.06,14.15,13.45,13.94,13.93,0.01,0.0007,2032380.0,2821230.0
18,600030.SH,2016-01-28,13.8,14.28,13.6,13.7,13.94,-0.24,-0.0172,1361380.0,1897580.0
19,600030.SH,2016-01-29,13.79,14.68,13.62,14.5,13.7,0.8,0.0584,2117490.0,3031440.0
20,600030.SH,2016-02-01,14.35,14.5,14.01,14.23,14.5,-0.27,-0.0186,1167890.0,1661280.0
21,600030.SH,2016-02-02,14.21,14.76,14.09,14.6,14.23,0.37,0.026,1241810.0,1807180.0
22,600030.SH,2016-02-03,14.42,14.56,14.17,14.47,14.6,-0.13,-0.0089,855917.0,1228140.0
23,600030.SH,2016-02-04,14.6,14.88,14.49,14.63,14.47,0.16,0.0111,1177840.0,1728770.0
24,600030.SH,2016-02-05,14.31,14.5,14.14,14.18,14.63,-0.45,-0.0308,1168070.0,1667400.0
25,600030.SH,2016-02-15,13.79,14.08,13.71,13.98,14.18,-0.2,-0.0141,773992.0,1074730.0
26,600030.SH,2016-02-16,14.16,14.95,14.16,14.83,13.98,0.85,0.0608,1664290.0,2437180.0
27,600030.SH,2016-02-17,14.7,15.06,14.66,15.01,14.83,0.18,0.0121,1339900.0,1993270.0
28,600030.SH,2016-02-18,15.16,15.52,14.92,14.95,15.01,-0.06,-0.004,1552800.0,2364320.0
29,600030.SH,2016-02-19,14.88,15.21,14.85,15.1,14.95,0.15,0.01,886334.0,1332250.0
30,600030.SH,2016-02-22,15.4,15.86,15.11,15.58,15.1,0.48,0.0318,1605460.0,2484870.0
31,600030.SH,2016-02-23,15.56,15.56,15.05,15.24,15.58,-0.34,-0.0218,1052740.0,1606780.0
32,600030.SH,2016-02-24,15.19,15.46,14.93,15.42,15.24,0.18,0.0118,1038400.0,1576650.0
33,600030.SH,2016-02-25,15.39,15.4,14.0,14.16,15.42,-1.26,-0.0817,1793210.0,2627520.0
34,600030.SH,2016-02-26,14.32,14.59,14.04,14.39,14.16,0.23,0.0162,1298790.0,1866880.0
35,600030.SH,2016-02-29,14.29,14.35,13.6,14.28,14.39,-0.11,-0.0076,2261670.0,3159150.0
36,600030.SH,2016-03-01,14.4,15.71,14.3,15.33,14.28,1.05,0.0735,2711490.0,4078840.0
37,600030.SH,2016-03-02,15.38,16.25,15.28,16.12,15.33,0.79,0.0515,3474340.0,5491190.0
38,600030.SH,2016-03-03,15.9,16.1,15.68,15.92,16.12,-0.2,-0.0124,2518420.0,3996300.0
39,600030.SH,2016-03-04,15.78,16.16,15.56,16.0,15.92,0.08,0.005,3194060.0,5072370.0
40,600030.SH,2016-03-07,16.18,16.32,15.9,15.98,16.0,-0.02,-0.0013,1749140.0,2815090.0
41,600030.SH,2016-03-08,15.98,16.18,15.4,16.16,15.98,0.18,0.0113,1892090.0,2990750.0
42,600030.SH,2016-03-09,15.8,16.04,15.66,16.0,16.16,-0.16,-0.0099,1567420.0,2484300.0
43,600030.SH,2016-03-10,15.87,15.99,15.5,15.53,16.0,-0.47,-0.0294,892820.0,1408960.0
44,600030.SH,2016-03-11,15.3,16.16,15.28,15.95,15.53,0.42,0.027,1868190.0,2961940.0
45,600030.SH,2016-03-14,16.0,16.65,15.91,16.17,15.95,0.22,0.0138,2371350.0,3867530.0
46,600030.SH,2016-03-15,16.05,16.15,15.81,16.01,16.17,-0.16,-0.0099,1143310.0,1825610.0
47,600030.SH,2016-03-16,15.95,16.26,15.95,16.09,16.01,0.08,0.005,1925790.0,3106940.0
48,600030.SH,2016-03-17,16.18,16.87,16.09,16.62,16.09,0.53,0.0329,1941080.0,3202340.0
49,600030.SH,2016-03-18,16.7,17.37,16.62,16.95,16.62,0.33,0.0199,2822380.0,4799300.0
50,600030.SH,2016-03-21,17.5,18.65,17.41,18.65,16.95,1.7,0.1003,6772510.0,12475900.0
51,600030.SH,2016-03-22,18.15,18.5,17.78,17.99,18.65,-0.66,-0.0354,3734030.0,6774290.0
52,600030.SH,2016-03-23,17.9,18.48,17.72,18.35,17.99,0.36,0.02,2536330.0,4584080.0
53,600030.SH,2016-03-24,18.0,18.0,17.39,17.41,18.35,-0.94,-0.0512,2251810.0,3998800.0
